#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
A,libxft-bgra,Patched version of libXft which supports color emoji
,ttf-liberation,fonts
,git,
,arandr,is a UI for screen adjustment.
,bc,is used for a dropdown calculator.
,calcurse,is a lightweight terminal-based calendar.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,feh,is a minimalist image viewer.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
A,gtk-theme-arc-gruvbox-git,gives the dark GTK theme used in LARBS.
,neovim,a tidier vim with some useful features
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,man-db,lets you read man pages of programs.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,newsboat,is a terminal RSS client.
A,brave-bin,is an elegant browser with built-in adblocking, tor and other features.
,noto-fonts-emoji,is an emoji font.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio-alsa,is the audio system.
,pulsemixer,is an audio controller.
,wget,Wget.
,pamixer,is a command-line audio interface.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,scrot,can take quick screenshots at your request.
,abook,is an offline addressbook usable by neomutt.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,zip,unzips zips.
,lynx,is a terminal browser.
,rtorrent,Torrent program
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
A,zathura,is a pdf viewer with vim-like bindings.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,zsh-fast-syntax-highlighting,provides syntax highlighting in the shell.
A,task-spooler,queues commands or files for download.
A,simple-mtpfs,enables the mounting of cell phones.
G,https://github.com/curzes/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/curzes/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/curzes/dwm.git,is the window manager.
A,mutt-wizard-git,is a light-weight terminal-based email system.
A,pmount,Mount removable devices as normal user
,slock,allows you to lock your computer, and quickly unlock with your password.
,firefox,browser
,python-pip,python installer
,ranger,filemanager
,nautilus,filemanager
,cronie,crontab
,openssh,ssh
,mtpfs,mount usbs in nautilus
,gvfs-mtp,mount usbs in nautilus
A,svtplay-dl,video downloader
,jmtpfs,mount usbs in nautilus
A,ytcc,yousube subscription
A,code,visual code
,arduino,arduino shit
,arduino-docs,arduino shit
,arduino-avr-core,arduino shit
,arduide-git,arduino shit
G,https://github.com/dfu-programmer/dfu-programmer.git,QMK-programmer
,compton,transparent terminal
,entr,auto run command on save
,networkmanager,NetworkManager
,rsync,rsync
,pass,passmanager
A,tomb-git,Tomb
,npm,NPM
A,yarn,Yarn
,networkmanager-openvpn,OpenVPN
A,soundcloud-dl-git,soundcloud-dl
,android-tools,Adb
,android-udev,Adn udev
